iter	Passed	Remaining
711	14656	5928
712	14679	5909
713	14704	5889
714	14725	5869
715	14741	5847
716	14761	5826
717	14781	5805
718	14804	5785
719	14838	5770
720	14882	5758
721	14905	5739
722	14922	5717
723	14940	5695
724	14958	5674
725	14975	5652
726	14998	5632
727	15014	5609
728	15030	5587
729	15047	5565
730	15065	5544
731	15080	5521
732	15098	5499
733	15116	5478
734	15131	5455
735	15150	5434
736	15170	5413
737	15191	5393
738	15209	5371
739	15224	5349
740	15250	5330
741	15293	5317
742	15313	5296
743	15334	5276
744	15360	5257
745	15381	5237
746	15400	5215
747	15417	5194
748	15433	5172
749	15452	5150
750	15469	5128
751	15485	5106
752	15501	5084
753	15519	5063
754	15534	5041
755	15551	5019
756	15568	4997
757	15583	4975
758	15608	4955
759	15628	4935
760	15646	4913
761	15663	4892
762	15681	4871
763	15700	4850
764	15717	4828
765	15735	4807
766	15750	4784
767	15767	4763
768	15790	4743
769	15809	4722
770	15826	4700
771	15843	4679
772	15857	4656
773	15874	4635
774	15891	4613
775	15909	4592
776	15925	4570
777	15946	4550
778	15962	4528
779	15978	4506
780	15995	4485
781	16012	4463
782	16029	4442
783	16045	4420
784	16060	4398
785	16081	4378
786	16095	4356
787	16113	4335
788	16132	4314
789	16150	4293
790	16167	4271
791	16182	4249
792	16198	4228
793	16218	4207
794	16233	4186
795	16255	4165
796	16272	4144
797	16287	4122
798	16301	4100
799	16316	4079
800	16332	4057
801	16348	4036
802	16363	4014
803	16378	3992
804	16392	3970
805	16407	3949
806	16423	3927
807	16438	3906
808	16454	3884
809	16469	3863
810	16483	3841
811	16497	3819
812	16512	3798
813	16527	3776
814	16543	3755
815	16559	3734
816	16580	3713
817	16593	3691
818	16608	3670
819	16627	3649
820	16644	3628
821	16660	3607
822	16676	3586
823	16690	3564
824	16704	3543
825	16720	3522
826	16734	3500
827	16751	3479
828	16765	3458
829	16779	3436
830	16792	3415
831	16807	3393
832	16822	3372
833	16836	3351
834	16853	3330
835	16869	3309
836	16883	3288
837	16898	3266
838	16912	3245
839	16928	3224
840	16945	3203
841	16963	3183
842	16981	3162
843	16996	3141
844	17010	3120
845	17026	3099
846	17042	3078
847	17057	3057
848	17072	3036
849	17086	3015
850	17102	2994
851	17120	2973
852	17136	2953
853	17152	2932
854	17168	2911
855	17183	2890
856	17196	2869
857	17209	2848
858	17223	2827
859	17240	2806
860	17255	2785
861	17269	2764
862	17286	2744
863	17299	2723
864	17313	2702
865	17330	2681
866	17345	2660
867	17361	2640
868	17378	2619
869	17393	2599
870	17407	2578
871	17421	2557
872	17436	2536
873	17452	2515
874	17467	2495
875	17481	2474
876	17496	2453
877	17509	2433
878	17523	2412
879	17538	2391
880	17553	2371
881	17569	2350
882	17584	2329
883	17599	2309
884	17613	2288
885	17626	2267
886	17642	2247
887	17659	2227
888	17675	2207
889	17692	2186
890	17706	2166
891	17719	2145
892	17732	2124
893	17749	2104
894	17766	2084
895	17781	2063
896	17796	2043
897	17810	2022
898	17824	2002
899	17846	1982
900	17861	1962
901	17878	1942
902	17894	1922
903	17909	1901
904	17924	1881
905	17938	1861
906	17952	1840
907	17968	1820
908	17983	1800
909	17998	1780
910	18013	1759
911	18028	1739
912	18042	1719
913	18056	1699
914	18072	1678
915	18087	1658
916	18104	1638
917	18118	1618
918	18132	1598
919	18146	1577
920	18161	1557
921	18177	1537
922	18192	1517
923	18207	1497
924	18221	1477
925	18234	1457
926	18248	1437
927	18264	1417
928	18280	1397
929	18294	1377
930	18310	1357
931	18324	1336
932	18337	1316
933	18352	1296
934	18367	1276
