iter	Passed	Remaining
661	16160	8251
662	16180	8224
663	16203	8199
664	16225	8173
665	16254	8151
666	16279	8127
667	16305	8104
668	16346	8087
669	16371	8063
670	16412	8047
671	16440	8024
672	16465	8000
673	16496	7978
674	16522	7955
675	16554	7934
676	16579	7909
677	16605	7886
678	16637	7865
679	16669	7844
680	16693	7819
681	16719	7795
682	16739	7769
683	16769	7747
684	16799	7725
685	16826	7701
686	16854	7678
687	16881	7655
688	16907	7631
689	16936	7609
690	16957	7583
691	16984	7559
692	17012	7536
693	17037	7512
694	17064	7488
695	17092	7465
696	17123	7444
697	17150	7420
698	17172	7394
699	17193	7368
700	17214	7342
701	17236	7316
702	17256	7290
703	17283	7266
704	17306	7241
705	17328	7216
706	17349	7190
707	17369	7163
708	17391	7138
709	17417	7114
710	17437	7087
711	17457	7061
712	17478	7035
713	17501	7010
714	17522	6984
715	17542	6958
716	17565	6932
717	17583	6906
718	17606	6881
719	17627	6855
720	17651	6830
721	17672	6804
722	17694	6779
723	17719	6754
724	17740	6729
725	17762	6703
726	17784	6678
727	17809	6654
728	17835	6630
729	17857	6604
730	17878	6579
731	17900	6553
732	17921	6527
733	17940	6501
734	17971	6479
735	17993	6454
736	18027	6433
737	18051	6408
738	18073	6383
739	18098	6358
740	18122	6334
741	18146	6309
742	18166	6283
743	18188	6258
744	18215	6234
745	18240	6210
746	18259	6184
747	18278	6157
748	18299	6132
749	18320	6106
750	18346	6083
751	18367	6057
752	18386	6031
753	18408	6006
754	18429	5980
755	18453	5955
756	18473	5929
757	18495	5904
758	18518	5879
759	18539	5854
760	18561	5829
761	18584	5804
762	18606	5779
763	18631	5755
764	18654	5730
765	18673	5704
766	18693	5678
767	18713	5652
768	18732	5627
769	18752	5601
770	18781	5578
771	18804	5553
772	18830	5529
773	18894	5516
774	18921	5493
775	18947	5469
776	18970	5444
777	18993	5419
778	19013	5393
779	19034	5368
780	19054	5342
781	19078	5318
782	19099	5293
783	19117	5267
784	19137	5241
785	19158	5216
786	19186	5192
787	19207	5167
788	19227	5142
789	19247	5116
790	19271	5092
791	19293	5067
792	19314	5041
793	19424	5039
794	19498	5027
795	19528	5004
796	19547	4978
797	19567	4953
798	19588	4927
799	19609	4902
800	19630	4876
801	19648	4850
802	19671	4825
803	19689	4799
804	19712	4775
805	19733	4749
806	19758	4725
807	19776	4699
808	19796	4673
809	19823	4649
810	19845	4624
811	19865	4599
812	19887	4574
813	19910	4549
814	19932	4524
815	19956	4499
816	19978	4474
817	19997	4449
818	20016	4423
819	20041	4399
820	20064	4374
821	20195	4373
822	20236	4352
823	20263	4328
824	20292	4304
825	20322	4281
826	20348	4256
827	20378	4233
828	20408	4209
829	20435	4185
830	20461	4161
831	20492	4137
832	20518	4113
833	20539	4088
834	20559	4062
835	20582	4037
836	20604	4012
837	20624	3987
838	20644	3961
839	20664	3936
840	20688	3911
841	20710	3886
842	20733	3861
843	20755	3836
844	20774	3810
845	20801	3786
846	20821	3761
847	20842	3735
848	20861	3710
849	20883	3685
850	20904	3660
851	20924	3634
852	20944	3609
853	20967	3584
854	20989	3559
855	21007	3534
856	21027	3508
857	21049	3483
858	21068	3458
859	21093	3433
860	21113	3408
861	21134	3383
862	21156	3358
863	21176	3333
864	21200	3308
865	21245	3287
866	21273	3263
867	21298	3238
868	21321	3214
869	21343	3189
870	21365	3164
871	21391	3140
872	21415	3115
873	21437	3090
874	21458	3065
875	21487	3041
876	21506	3016
877	21532	2992
878	21564	2968
879	21592	2944
880	21629	2921
881	21651	2896
882	21672	2871
883	21703	2847
884	21725	2823
885	21744	2797
886	21769	2773
887	21791	2748
888	21810	2723
889	21826	2697
890	21843	2672
891	21857	2646
892	21872	2620
893	21887	2595
894	21904	2569
895	21922	2544
896	21939	2519
897	21955	2493
898	21972	2468
899	21988	2443
900	22003	2417
901	22018	2392
902	22034	2366
903	22052	2341
904	22068	2316
905	22084	2291
906	22103	2266
907	22122	2241
908	22139	2216
909	22156	2191
910	22173	2166
911	22192	2141
912	22208	2116
913	22223	2091
914	22238	2065
915	22257	2041
916	22276	2016
917	22292	1991
918	22308	1966
919	22323	1941
920	22338	1916
921	22353	1891
922	22373	1866
923	22389	1841
924	22407	1816
925	22423	1791
926	22439	1767
927	22455	1742
928	22474	1717
929	22489	1692
930	22506	1668
931	22522	1643
932	22536	1618
933	22551	1593
934	22569	1568
935	22588	1544
936	22602	1519
937	22617	1495
938	22633	1470
939	22648	1445
940	22663	1421
941	22681	1396
942	22700	1372
943	22720	1347
944	22733	1323
945	22747	1298
946	22762	1273
947	22780	1249
948	22796	1225
949	22812	1200
950	22829	1176
951	22845	1151
952	22859	1127
953	22875	1103
954	22892	1078
955	22906	1054
956	22921	1029
957	22937	1005
958	22953	981
959	22971	957
960	22985	932
961	23001	908
962	23018	884
963	23032	860
964	23050	836
965	23065	811
966	23083	787
967	23102	763
